date,label,longitude,latitude,rainfall
09-09-2014,1,76.98320035,31.776602,2.4593649
01-01-2008,0,77.21102731,30.64424149,2.539256096
10-03-2016,1,77.05879995,30.89740104,0.679
17-06-2016,1,78.11810399,31.51240026,0.495
01-01-2008,0,75.46225905,31.14190813,2.541405201
15-09-2010,1,77.89499733,31.41350186,2.5668517
20-09-2010,1,77.71550068,31.15809792,2.7754242
01-01-2008,0,75.85818321,32.61572195,2.801333904
17-06-2011,1,77.97979606,31.56389842,2.8022826
17-03-2008,1,77.1613013,32.28620144,2.927376
01-01-2008,0,75.12881546,30.42438304,2.960429192
01-01-2008,0,75.36093224,32.099677,3.165449381
01-01-2008,0,75.28540168,31.25886109,3.1941185
01-01-2008,0,77.89526329,29.43781693,0.655821562
01-01-2008,0,78.27465071,32.44339547,0.68516928
01-01-2008,0,75.35335017,31.90103408,3.199852228
01-01-2008,0,79.67491864,32.27305962,0.413017482
25-07-2010,1,76.36409876,32.20670013,3.205318
27-07-2013,1,78.62999542,31.89310047,3.220818
15-07-2011,1,77.21810133,32.34909706,3.5668071
01-01-2008,0,75.27741794,31.7900058,3.794006109
01-01-2008,0,79.19122699,29.4239083,0.374308944
07-07-2010,1,76.8529946,32.65980276,4.069509
07-07-2010,1,78.43540025,31.64500055,4.1172802
14-07-2013,1,77.35440267,30.67379942,4.6081692
13-07-2015,1,77.16649616,31.08509798,4.7134403
01-01-2008,0,79.74516352,32.68208958,0.429910868
14-07-2013,1,77.67459734,31.47110006,4.7697546
01-01-2008,0,75.17869882,33.26891557,4.805193901
01-01-2008,0,79.49164749,33.24205436,0.53219223
25-07-2010,1,77.17269877,31.10540027,5.4576956
01-01-2008,0,79.91934391,32.61288493,0.199307323
25-07-2010,1,77.16750391,31.09309761,5.4576956
01-01-2008,0,79.58049036,31.62373561,0.571622729
31-07-2016,1,77.10430062,31.6865014,5.4654256
18-07-2015,1,76.32260236,32.22389888,5.6969021
01-01-2008,0,79.75793299,32.18523318,0.544277847
01-01-2008,0,79.90605225,32.72490484,0.218416482
31-07-2010,1,77.13249997,31.06550023,5.8684926
21-08-2010,1,77.77549788,31.53039719,6.1601885
26-08-2010,1,75.95680447,32.70289998,6.2880889
01-01-2008,0,79.36390908,32.53133628,0.516070247
07-08-2011,1,77.02059883,30.9209005,6.7579448
07-07-2010,1,77.95210058,31.50410187,6.7780931
07-07-2010,1,77.17929824,31.1011017,6.9464305
22-08-2015,1,77.12129871,31.0365027,7.077096
07-07-2010,1,77.24980108,32.3732966,7.3401462
09-03-2009,1,77.22339429,32.3510011,7.5752661
01-01-2008,0,79.25479112,32.61789103,0.688301384
09-06-2010,1,77.14949806,32.0987007,7.6692719
25-07-2010,1,77.09690297,30.90400051,7.7913282
07-08-2011,1,77.19349601,32.32369802,7.9666581
29-08-2016,1,77.85610059,31.57279878,8.5896384
13-09-2010,1,77.21949703,32.3109004,8.684421
29-06-2011,1,77.21469904,32.43180001,8.6900815
18-08-2013,1,78.06600386,31.08260088,9.0097096
18-09-2012,1,77.102896,31.02259922,9.2395917
21-08-2013,1,77.37370166,31.53750054,10.0526661
17-07-2016,1,78.17579584,31.50069958,10.2507472
01-01-2008,0,79.53616586,31.31181819,0.476503402
01-01-2008,0,79.03612711,32.51615416,0.54084599
01-01-2008,0,79.77955028,33.54112964,0.447217763
06-11-2013,1,76.70430141,31.48980153,10.3250993
01-01-2008,0,79.43005939,31.40737217,0.468853533
01-01-2008,0,78.52486781,33.75781559,0.652437449
06-11-2013,1,76.67019821,31.48809816,10.3250993
01-01-2008,0,78.73017156,32.68659473,0.448495865
14-07-2013,1,77.17880328,32.16999727,10.3892582
13-08-2015,1,76.98760148,31.7755987,10.431109
01-01-2008,0,75.53573296,29.19203858,0.648742318
25-07-2010,1,77.28890294,30.55890176,10.4556661
01-01-2008,0,78.68590079,32.1287274,0.7016837
29-06-2011,1,77.18979496,32.22819745,10.8296759
24-08-2012,1,77.09690297,30.90440183,11.0575575
08-07-2011,1,77.39129728,31.07659893,11.1238975
